Date-Time,C23?Compressors_Vibration_Probes?Vibration_Probe_1?Vibration,C23?Compressors_Vibration_Probes?Vibration_Probe_2?Vibration,C23?Compressors_Vibration_Probes?Vibration_Probe_3?Vibration,C23?Compressors_Vibration_Probes?Vibration_Probe_4?Vibration
2020-04-30T05:30:00,0.059016806,0.073505339,0.074430417,0.043199933
2020-04-30T06:00:00,0.059741844,0.074697339,0.073607206,0.043240067
2020-04-30T06:30:00,0.060861117,0.074292661,0.073296106,0.043156672
2020-04-30T07:00:00,0.059539967,0.074733944,0.074372661,0.043176622
2020-04-30T07:30:00,0.060072511,0.073996672,0.074986989,0.043220017
2020-04-30T08:00:00,0.060291283,0.074153061,0.073774711,0.043180033
2020-04-30T08:30:00,0.059718383,0.074133911,0.072722328,0.043130017
2020-04-30T09:00:00,0.061047689,0.073027356,0.074216189,0.043100017
2020-04-30T09:30:00,0.059470583,0.072096839,0.07481995,0.043106622
2020-04-30T10:00:00,0.0590096,0.072901644,0.075019767,0.043186622
2020-04-30T10:30:00,0.059353561,0.074281083,0.074644428,0.043230017
2020-04-30T11:00:00,0.059951878,0.073376006,0.073932328,0.043229967
2020-04-30T11:30:00,0.0606817,0.07455935,0.074737339,0.043243378
2020-04-30T12:00:00,0.059129183,0.074870783,0.073637156,0.04321995
2020-04-30T12:30:00,0.059520983,0.074096389,0.073173128,0.043253378
2020-04-30T13:00:00,0.059201894,0.074463278,0.073506522,0.043183361
2020-04-30T13:30:00,0.060068106,0.073917689,0.074172511,0.043159983
2020-04-30T14:00:00,0.059102061,0.073009467,0.074624228,0.043143394
2020-04-30T14:30:00,0.060224011,0.073084278,0.073436856,0.043123244
2020-04-30T15:00:00,0.059060583,0.072432528,0.072860583,0.043243311
2020-04-30T15:30:00,0.058819233,0.073486522,0.072662494,0.043236722
2020-04-30T16:00:00,0.059923028,0.073766489,0.07364005,0.043160017
2020-04-30T16:30:00,0.060512961,0.074415939,0.073560033,0.04314
2020-04-30T17:00:00,0.060118072,0.074268372,0.073480067,0.043183261
2020-04-30T17:30:00,0.059368433,0.072289883,0.073266889,0.043203444
2020-04-30T18:00:00,0.061110233,0.0727295,0.073485856,0.0431299
2020-04-30T18:30:00,0.060690233,0.073606206,0.074689617,0.043203411
2020-04-30T19:00:00,0.060549767,0.074113411,0.074394594,0.043143278
2020-04-30T19:30:00,0.060028006,0.073344461,0.073086322,0.043229967
2020-04-30T20:00:00,0.059275239,0.072865206,0.074019133,0.04327
2020-04-30T20:30:00,0.061226272,0.074456939,0.075046689,0.043206772
2020-04-30T21:00:00,0.061124294,0.074432828,0.074730483,0.043106622
2020-04-30T21:30:00,0.059697122,0.074118206,0.074076789,0.043163328
2020-04-30T22:00:00,0.058893761,0.07289895,0.073886739,0.043189967
2020-04-30T22:30:00,0.058895806,0.074146689,0.073164394,0.043216689
2020-04-30T23:00:00,0.059533994,0.074406189,0.072059717,0.043213294
2020-04-30T23:30:00,0.059362294,0.074540733,0.073361728,0.043246689
2020-05-01T00:00:00,0.060164078,0.07386965,0.074687672,0.043210017
2020-05-01T00:30:00,0.059386472,0.074326606,0.073286989,0.043203311
2020-05-01T01:00:00,0.059613344,0.073594678,0.073535606,0.043176756
2020-05-01T01:30:00,0.059723128,0.072981661,0.074623644,0.043103278
2020-05-01T02:00:00,0.059846872,0.074640583,0.073567806,0.043143378
2020-05-01T02:30:00,0.060092511,0.073810217,0.072396339,0.043143244
2020-05-01T03:00:00,0.060757206,0.073243844,0.073635256,0.04322005
2020-05-01T03:30:00,0.060036789,0.072530167,0.074524678,0.043146689
2020-05-01T04:00:00,0.059520617,0.07253965,0.073785206,0.043153278
2020-05-01T04:30:00,0.059478833,0.072727056,0.075130683,0.043173411
2020-05-01T05:00:00,0.060117939,0.07223005,0.074333294,0.0431399
2020-05-01T05:30:00,0.0590093,0.072778983,0.073914111,0.043226722
2020-05-01T06:00:00,0.060052994,0.073770383,0.073179667,0.04316
2020-05-01T06:30:00,0.060007422,0.073616156,0.073134078,0.043150017
2020-05-01T07:00:00,0.059672378,0.074346472,0.072842328,0.043139983
